Author,Degrees
Amir A,0
Arden WM,0
Allendorf MD,0
Mittal AK,1
Halonen M,1
Anderson RB,1
Daim TU,1
Barker D,1
Khakhanov Y,1
T,1
Amer M,1
Alvarez E,1
Bansal V,1
Redman D,1
Smith DJH,1
Abele,1
Afanasiev A,1
Hendrix M,1
Kappel TA,1
Bechtold LE,1
Raghavan S,1
Nelson,2
Phaal R,2
Park Y,2
An Y,2
Valovirta V,2
Bunduchi R,2
Arshed N,2
Finch J,2
B,2
Beeton DA,2
Zhao S,2
Probert DR,2
Hill J,2
Liokkanen T,2
Lee S,2
Domazetis G,2
Bai Q,2
Xu P,2
Ana J,2
Boughen N,3
Ashworth P,3
Millar F,3
Ballard SC,3
Amadi-Echendu J,3
Saukkonen J,3
Mkhize M,3
Maswanganyi M,3
Nukari J,3
Bagheri SK,3
Albright RE,3
Ahlqvist T,3
Nilforoushan H,3
Rezapour M,3
Mayhew M,3
Lephauphau O,3
Levie J,3
Rashtchi M,3
Etoh M,4
Koike S,4
Jinno F,4
Beheshtinia MA,4
Kubo H,4
Ashiki T,4
Sakuma H,4
Aghaei HA,4
SakumaH,4
Shinokura K,4
Sibagaki S,4
Gholimotlagh M,4
Fartash K,4
Amalnick MS,4
Suzuki A,10
Abe H,10
