Author,Number of Papers
Etoh M,1
Mittal AK,1
Koike S,1
Bai Q,1
Halonen M,1
Nelson,1
Mayhew M,1
Boughen N,1
Beheshtinia MA,1
Anderson RB,1
Park Y,1
Kubo H,1
Ashworth P,1
Amir A,1
Arden WM,1
Raghavan S,1
Daim TU,1
Millar F,1
An Y,1
Barker D,1
Ballard SC,1
Khakhanov Y,1
Aghaei HA,1
Bunduchi R,1
Fartash K,1
T,1
Amer M,1
Finch J,1
Shinokura K,1
Alvarez E,1
Sibagaki S,1
Bansal V,1
B,1
Redman D,1
Smith DJH,1
Maswanganyi M,1
Nukari J,1
Zhao S,1
Hill J,1
Abele,1
Hendrix M,1
Liokkanen T,1
Gholimotlagh M,1
Lee S,1
Nilforoushan H,1
Afanasiev A,1
Kappel TA,1
Valovirta V,1
Domazetis G,1
Allendorf MD,1
Lephauphau O,1
SakumaH,1
Levie J,1
Xu P,1
Bechtold LE,1
Saukkonen J,1
Amalnick MS,1
Ana J,1
Jinno F,2
Ashiki T,2
Arshed N,2
Amadi-Echendu J,2
Phaal R,2
Rashtchi M,2
Sakuma H,2
Bagheri SK,2
Probert DR,2
Ahlqvist T,2
Rezapour M,2
Mkhize M,2
Beeton DA,3
Suzuki A,4
Abe H,4
Albright RE,6
